step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.37134,0.78093,,
2,0.9269,0.85885,,
3,0.78508,0.8744,,
4,0.37405,0.92327,,
5,0.54379,0.87059,,
6,0.59047,0.85503,,
7,0.29503,0.92184,,
8,0.28965,0.92384,,
9,0.63679,0.86313,,
10,0.63687,0.84722,,
11,0.3349,0.91751,,
12,0.43846,0.87496,,
13,0.4421,0.89675,,
14,0.56089,0.85422,,
15,0.16513,0.95535,,
